
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001059                       # Number of seconds simulated (Second)
simTicks                                   1058742750                       # Number of ticks simulated (Tick)
finalTick                                  1058742750                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    141.82                       # Real time elapsed on the host (Second)
hostTickRate                                  7465238                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     684872                       # Number of bytes of host memory used (Byte)
simInsts                                      8104412                       # Number of instructions simulated (Count)
simOps                                       14471063                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    57144                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     102036                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           250                       # Clock period in ticks (Tick)
system.cpu.numCycles                          4234972                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.522551                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.913687                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        14488380                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        3                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       14498597                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    641                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                17306                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             19340                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   2                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             4170320                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.476615                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.777681                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    558915     13.40%     13.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1122624     26.92%     40.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    350647      8.41%     48.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    215683      5.17%     53.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    251726      6.04%     59.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    191004      4.58%     64.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    595945     14.29%     78.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    580172     13.91%     92.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    303604      7.28%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               4170320                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     293      0.13%      0.13% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.13% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.13% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                 83118     37.12%     37.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     37.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     37.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     37.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     37.25% # attempts to use FU when none available (Count)
