
---------- Begin Simulation Statistics ----------
simSeconds                                   0.002508                       # Number of seconds simulated (Second)
simTicks                                   2508340000                       # Number of ticks simulated (Tick)
finalTick                                  2508340000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    119.91                       # Real time elapsed on the host (Second)
hostTickRate                                 20919318                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     674124                       # Number of bytes of host memory used (Byte)
simInsts                                      8104412                       # Number of instructions simulated (Count)
simOps                                       14471063                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    67590                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     120687                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.cpu.numCycles                          5016681                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.619006                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.615493                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        14488277                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        3                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       14500834                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    637                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                17203                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             19653                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   2                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             4991752                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.904959                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.837070                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   1385742     27.76%     27.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1087563     21.79%     49.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    358253      7.18%     56.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    213247      4.27%     61.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    314871      6.31%     67.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    187781      3.76%     71.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    565749     11.33%     82.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    564227     11.30%     93.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    314319      6.30%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               4991752                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     290      0.11%      0.11% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.11% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.11% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                 88428     32.96%     33.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     33.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     33.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     33.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     33.06% # attempts to use FU when none available (Count)
