
---------- Begin Simulation Statistics ----------
simSeconds                                   0.008237                       # Number of seconds simulated (Second)
simTicks                                   8236607000                       # Number of ticks simulated (Tick)
finalTick                                  8236607000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    282.34                       # Real time elapsed on the host (Second)
hostTickRate                                 29172413                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     757344                       # Number of bytes of host memory used (Byte)
simInsts                                     11294772                       # Number of instructions simulated (Count)
simOps                                       22515944                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    40004                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      79747                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.cpu.numCycles                         16473215                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.458481                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.685645                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        22899011                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        4                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       30619997                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  33439                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               383065                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            632438                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   3                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            16438309                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.862722                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.298252                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   7742783     47.10%     47.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   2180423     13.26%     60.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    965239      5.87%     66.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1117540      6.80%     73.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1631486      9.92%     82.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1226701      7.46%     90.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    844391      5.14%     95.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    407287      2.48%     98.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    322459      1.96%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              16438309                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   59401      2.18%      2.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      2.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      2.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      2.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      2.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      2.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      2.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      2.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%      2.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%      2.18% # attempts to use FU when none available (Count)
