
---------- Begin Simulation Statistics ----------
simSeconds                                   0.011104                       # Number of seconds simulated (Second)
simTicks                                  11104101750                       # Number of ticks simulated (Tick)
finalTick                                 11104101750                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    382.79                       # Real time elapsed on the host (Second)
hostTickRate                                 29008033                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     691044                       # Number of bytes of host memory used (Byte)
simInsts                                     11294772                       # Number of instructions simulated (Count)
simOps                                       22515944                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    29506                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      58820                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           250                       # Clock period in ticks (Tick)
system.cpu.numCycles                         44416408                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               3.932475                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.254293                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        22899392                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        4                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       30436176                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  33309                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               383446                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            627905                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   3                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            44354103                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.686209                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.626307                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  35036887     78.99%     78.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   2944289      6.64%     85.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1019004      2.30%     87.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1056175      2.38%     90.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1593245      3.59%     93.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1204655      2.72%     96.62% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    858723      1.94%     98.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    392239      0.88%     99.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    248886      0.56%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              44354103                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  101111      3.70%      3.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      3.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      3.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      3.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      3.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      3.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      3.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      3.70% # attempts to use FU when none available (Count)
